테이블명,테이블 설명,모듈구분,시스템 테이블,컬렴명,컬렴설명,데이터 타입,NOT NULL,PK 여부,FK 여부,참조 테이블,참조 컬럼
BAA100_YH,결재라인 목록등록,공통,,bs_cd,사업장,Text,1,1,,,
BAA100_YH,결재라인 목록등록,공통,,sign_bc,결재종류,Combo,1,1,,,
BAA100_YH,결재라인 목록등록,공통,,fr_dt,적용시작일,,1,1,,,
BAA100_YH,결재라인 목록등록,공통,,to_dt,적용종료일,,1,,,,
BAA100_YH,결재라인 목록등록,공통,,use_bc,적용대상,Combo,1,,,,
BAA100_YH,결재라인 목록등록,공통,,rmks,비고,Text,,,,,
BAA100_YH,결재라인 목록등록,공통,,cid,생성자,Int,,,,,
BAA100_YH,결재라인 목록등록,공통,,cdt,생성일,Date,,,,,
BAA100_YH,결재라인 목록등록,공통,,mid,수정자,Int,,,,,
BAA100_YH,결재라인 목록등록,공통,,mdt,수정일,Date,,,,,
BAA110_YH,결재라인 순서등록,공통,,bs_cd,사업장,Text,1,1,,,
BAA110_YH,결재라인 순서등록,공통,,sign_bc,결재라인,Combo,1,1,,,
BAA110_YH,결재라인 순서등록,공통,,fr_dt,적용시작일,,1,1,,,
BAA110_YH,결재라인 순서등록,공통,,sign_sq,결재라인순번,Int,1,1,,,
BAA110_YH,결재라인 순서등록,공통,,prt_sq,결재순번,Int,1,,,,
BAA110_YH,결재라인 순서등록,공통,,sign_nm,결재명,Text,1,,,,
BAA110_YH,결재라인 순서등록,공통,,emp_nm,결재내용,Text,1,,,,
BAA110_YH,결재라인 순서등록,공통,,rmks,비고,Text,,,,,
BAA110_YH,결재라인 순서등록,공통,,cid,생성자,Int,,,,,
BAA110_YH,결재라인 순서등록,공통,,cdt,생성일,Date,,,,,
BAA110_YH,결재라인 순서등록,공통,,mid,수정자,Int,,,,,
BAA110_YH,결재라인 순서등록,공통,,mdt,수정일,Date,,,,,
BAA120_YH,결재라인 사용 상세,공통,,bs_cd,사업장,Text,1,1,,,
BAA120_YH,결재라인 사용 상세,공통,,sign_bc,결재종류,Combo,1,1,,,
BAA120_YH,결재라인 사용 상세,공통,,fr_dt,적용시작일,,1,1,,,
BAA120_YH,결재라인 사용 상세,공통,,use_cd,적용대상코드,Text,1,1,,,
BAA120_YH,결재라인 사용 상세,공통,,rmks,비고,Text,,,,,
BAA120_YH,결재라인 사용 상세,공통,,cid,생성자,Int,,,,,
BAA120_YH,결재라인 사용 상세,공통,,cdt,생성일,Date,,,,,
BAA120_YH,결재라인 사용 상세,공통,,mid,수정자,Int,,,,,
BAA120_YH,결재라인 사용 상세,공통,,mdt,수정일,Date,,,,,
BAR200,바코드 납품리스트,자재,,bar_id,바코드 ID,Int,1,1,,,
BAR200,바코드 납품리스트,자재,,bar_no,바코드,Text,1,,,,
BAR200,바코드 납품리스트,자재,,cust_cd,거래처,Text,1,,,,
BAR200,바코드 납품리스트,자재,,fac_cd,입고공장,Text,1,,,,
BAR200,바코드 납품리스트,자재,,wh_cd,입고창고,Text,1,,,,
BAR200,바코드 납품리스트,자재,,itm_id,품목ID,Int,1,,,,
BAR200,바코드 납품리스트,자재,,dlv_dt,납품일자,Date,1,,,,
BAR200,바코드 납품리스트,자재,,mng_no,LOTNO,Text,,,,,
BAR200,바코드 납품리스트,자재,,dlv_qty,납품수량,Decimal,,,,,
BAR200,바코드 납품리스트,자재,,dlv_bc,납품구분,Combo,1,,,,
BAR200,바코드 납품리스트,자재,,rmks,비고,Text,,,,,
BAR200,바코드 납품리스트,자재,,cid,생성자,Int,,,,,
